"artists","total_count"
"Feid;Sky Rompiendo",5
"Misfits",5
"Misfits;Glenn Danzig",5
"Motohiro Hata",5
"Thaikkudam Bridge",5
"Icona Pop",4
"Icona Pop;Charli XCX",4
"Icona Pop;Charli XCX;Cobra Starship",4
"Icona Pop;Just Kiddin",4
"Ilkay Sencan;Dynoro",4
"Imanbek;BYOR",4
"Incubus",4
"J Alvarez;Sak Luke;DJ Valdi",4
"J Balvin",4
"J Balvin;Bad Bunny",4
"J Balvin;Bad Bunny;Marciano Cantero",4
"J Balvin;Bad Bunny;Mr Eazi",4
"J Balvin;Ed Sheeran",4
"J Balvin;Jay Wheeler",4
"J Balvin;KAROL G;Nicky Jam;Crissin;Totoy El Frio;Natan & Shander",4
"J Balvin;Khalid",4
"J Balvin;Maria Becerra",4
"J Balvin;Mr Eazi",4
"J Balvin;Pharrell Williams;BIA;Sky",4
"J Balvin;Ryan Castro",4
"J Balvin;Sech",4
"J Balvin;Skrillex",4
"J Balvin;Willy William",4
"J Balvin;Willy William;Beyoncé",4
"J Balvin;Zion & Lennox",4
"Jack Ü;Skrillex;Diplo;Justin Bieber",4
"Jackie Wilson",4
"James Blake;Travis Scott;Metro Boomin",4
"James Hype;Miggy Dela Rosa",4
"James Hype;Miggy Dela Rosa;Lazza",4
"Jamie Jones;AMÉMÉ",4
"Jamie Jones;The Martinez Brothers",4
"Jasleen Royal;Ranveer Allahbadia;Ujjwal Kashyap",4
"Jehan Barbur",4
"Jhayco",4
"Jhayco;Anuel AA",4
"Jhayco;Anuel AA;J Balvin",4
"Jhayco;Bad Bunny",4
"Jhayco;Bryant Myers",4
"Jhayco;J Balvin;Bad Bunny",4
"Jhayco;KAROL G;Haze",4
"Jhayco;Mariah Angeliq;Eq",4
"Jhayco;Nio Garcia;Casper Magico;Bryant Myers",4
"Jhayco;Ozuna",4
"Jhayco;Tainy",4
"Jhayco;Wisin & Yandel",4
"Jhayco;Zion & Lennox",4
"Jim Croce",4
"Jimi Hendrix",4
"Joe Walsh",4
"Joey Montana;Lalo Ebratt",4
"Joey Montana;Sebastian Yatra",4
"John De Sohn;Rasmus Hagen",4
"Joris Delacroix",4
"Joy Division",4
"Julieta Venegas",4
"KALEO",4
"KANA-BOON",4
"KEVVO;J Balvin",4
"Kaavish",4
"Kailash Kher",4
"Kailash Kher;Mounima",4
"Karthik Rao",4
"Karthik Rao;Shilpa Surroch",4
"Kavinsky",4
"Kevin Martes 13",4
"Kevin Roldan",4
"Kevin Roldan;Bryant Myers;Lyanno",4
"Kevin Roldan;Wisin",4
"Kyau & Albert",4
"LCD Soundsystem",4
"LCD Soundsystem;Soulwax",4
"La Mississippi",4
"Lalo Ebratt;J Balvin;Trapical",4
"Lalo Ebratt;Juanes;Skinny Happy;Yera;Trapical",4
"Lalo Ebratt;Sebastian Yatra;Yera;Trapical Minds",4
"Lalo Ebratt;Trapical",4
"Lamb of God",4
"Leman Sam",4
"Lenny Tavárez;Randy;De La Ghetto;Brray;Justin Quiles",4
"Level 42",4
"Lifafa",4
"Lifehouse",4
"Lisa Nilsson",4
"Little River Band",4
"Live",4
"Los Caligaris",4
"Los Hermanos",4
"Lou Rawls",4
"Luar La L",4
"Lykke Li",4
"Lykke Li;The Magician",4
"Lyn Lapid",4
"Lynyrd Skynyrd",4
"MEDUZA;Becky Hill;Goodboys",4
"MEMBA;EVAN GIIA;Nooran Sisters",4
"MFÖ",4
"MGMT",4
"Maceo Plex;Chromatics",4
"Maceo Plex;Faithless",4
"Maceo Plex;Gabriel Ananda",4
"Machuca",4
"Major Lazer;Justin Bieber;MØ",4
"Major Lazer;MØ;DJ Snake",4
"Maluma;The Weeknd",4
"Mame Khan",4
"Manuel Turizo",4
"Marilyn Manson",4
"Mariya Takeuchi",4
"Mark Knight;Armand Van Helden",4
"Marshmello;Demi Lovato;Lost Stories",4
"Marshmello;Lil Peep",4
"Marshmello;Mae Muller;Trippie Redd",4
"Martin Garrix",4
"Martin Garrix;Bebe Rexha",4
"Martin Garrix;Dua Lipa",4
"Martin Garrix;Macklemore;Fall Out Boy",4
"Martin Jensen",4
"Masaki Suda",4
"Mastodon",4
"Matisse & Sadko;Hanne Mjøen",4
"Mike Perry;shy martin",4
"Mild High Club",4
"Mrs. GREEN APPLE",4
